"District","Road_Length","Road_Density",
"Achham","79.50","5",
"Arghakhanchi","186.91","16",
"Baglung","35.63","2",
"Baitadi","198.86","13",
"Bajhang","73.20","2",
"Bajura","11.80","1",
"Banke","386.41","17",
"Bara","300.34","25",
"Bardiya","293.02","14",
"Bhaktapur","182.08","153",
"Bhojpur","0.00","0",
"Chitwan","789.86","36",
"Dadeldhura","192.58","13",
"Dailekh","188.90","13",
"Dang","589.78","20",
"Darchula","66.42","3",
"Dhading","263.88","14",
"Dhankuta","244.88","27",
"Dhanusa","660.21","56",
"Dolakha","243.88","11",
"Dolpa","0.00","0",
"Doti","183.41","9",
"Gorkha","124.84","3",
"Gulmi","217.54","19",
"Humla","0.00","0",
"Ilam","387.95","23",
"Jajarkot","22.00","1",
"Jhapa","603.24","38",
"Jumla","13.00","1",
"Kailali","449.80","14",
"Kalikot","7.00","0",
"Kanchanpur","224.22","14",
"Kapilbastu","355.97","20",
"Kaski","464.46","23",
"Kathmandu","914.83","232",
"Kavrepalanchok","435.59","31",
"Khotang","0.00","0",
"Lalitpur","348.41","90",
"Lamjung","113.57","7",
"Mahottari","465.29","46",
"Makwanpur","346.04","14",
"Manang","0.00","0",
"Morang","661.72","36",
"Mugu","0.00","0",
"Mustang","0.00","0",
"Myagdi","22.00","1",
"Nawalparasi","253.33","12",
"Nuwakot","248.71","22",
"Okhaldhunga","41.00","4",
"Palpa","291.84","21",
"Panchthar","177.86","14",
"Parbat","68.11","14",
"Parsa","282.91","21",
"Pyuthan","216.00","17",
"Ramechhap","130.00","8",
"Rasuwa","97.50","6",
"Rautahat","200.33","18",
"Rolpa","77.79","4",
"Rukum","49.70","2",
"Rupandehi","352.81","26",
"Salyan","202.16","14",
"Sankhuwasabha","32.20","1",
"Saptari","336.80","25",
"Sarlahi","446.32","35",
"Sindhuli","107.20","4",
"Sindhupalchok","242.25","10",
"Siraha","305.93","26",
"Solukhumbu","0.00","0",
"Sunsari","475.03","38",
"Surkhet","359.14","15",
"Syangja","238.14","20",
"Tanahu","402.89","26",
"Taplejung","37.10","1",
"Terhathum","63.44","9",
"Udayapur","195.06","9",
